n	30	Q	15	r_mod	8
0	25.0	25.0	0	0	0	1000
1	19.942	16.269	0	7	175	235
2	13.131	45.499	0	9	522	582
3	41.105	42.288	0	10	256	316
4	29.622	23.653	0	5	529	589
5	20.387	33.75	0	11	469	529
6	8.195	24.765	0	5	436	496
7	39.947	22.762	0	10	517	577
8	32.184	39.039	0	8	414	474
9	46.07	49.15	0	11	28	88
10	15.395	23.92	0	11	96	156
11	38.336	13.008	0	8	169	229
12	49.706	28.635	0	10	54	114
13	17.748	22.292	0	10	423	483
14	42.549	29.924	0	8	112	172
15	44.178	9.661	0	11	511	571
16	26.591	36.243	0	11	36	96
17	3.855	9.895	0	5	24	84
18	37.401	26.569	0	11	293	353
19	45.989	20.442	0	7	402	462
20	35.511	15.228	0	10	496	556
21	39.026	12.034	0	11	477	537
22	28.364	23.084	0	10	299	359
23	40.399	46.524	0	10	267	327
24	42.439	43.835	0	10	61	121
25	48.019	11.272	0	10	410	470
26	7.711	35.675	0	11	300	360
27	12.451	19.724	0	6	538	598
28	11.466	10.009	0	8	378	438
29	31.894	3.068	0	9	549	609
30	31.193	29.453	0	11	64	124
31	35.573	46.733	0	-7	209	269
32	36.158	11.897	0	-9	562	622
33	43.76	46.624	0	-10	261	321
34	13.387	36.048	0	-5	549	609
35	21.442	34.131	0	-11	470	530
36	4.515	24.464	0	-5	439	499
37	14.379	35.446	0	-10	545	605
38	17.381	24.472	0	-8	434	494
39	43.627	19.724	0	-11	57	117
40	0.062	49.145	0	-11	125	185
41	42.389	13.101	0	-8	173	233
42	6.799	22.468	0	-10	97	157
43	24.429	6.787	0	-10	439	499
44	44.972	41.699	0	-8	124	184
45	30.09	18.098	0	-11	527	587
46	17.571	39.599	0	-11	45	105
47	30.378	32.49	0	-5	58	118
48	20.594	9.692	0	-11	316	376
49	19.93	25.913	0	-7	428	488
50	5.808	45.172	0	-10	538	598
51	0.497	25.269	0	-11	517	577
52	43.952	38.259	0	-10	320	380
53	13.843	16.968	0	-10	306	366
54	19.524	12.881	0	-10	99	159
55	30.948	13.248	0	-10	427	487
56	15.145	19.745	0	-11	317	377
57	18.778	35.536	0	-6	555	615
58	47.436	7.99	0	-8	414	474
59	6.843	25.729	0	-9	582	642
60	17.743	42.465	0	-11	82	142
61	25.0	25.0	0	0	0	1000
