n	10	Q	20	r_mod	4
0	25.0	25.0	0	0	0	1000
1	30.792	21.611	0	6	429	489
2	49.256	1.163	0	14	151	211
3	31.284	41.613	0	9	275	335
4	49.04	6.118	0	14	87	147
5	43.522	5.032	0	11	519	579
6	20.092	47.851	0	14	35	95
7	29.362	43.857	0	14	497	557
8	43.592	16.373	0	12	361	421
9	8.425	35.962	0	9	398	458
10	22.59	4.106	0	15	263	323
11	1.927	28.76	0	-6	458	518
12	40.713	20.398	0	-14	172	232
13	23.997	42.655	0	-9	282	342
14	4.641	41.602	0	-14	143	203
15	19.457	28.911	0	-11	552	612
16	49.712	41.703	0	-14	65	125
17	27.729	30.525	0	-14	510	570
18	29.411	35.205	0	-12	384	444
19	21.106	14.542	0	-9	422	482
20	6.231	27.622	0	-15	291	351
21	25.0	25.0	0	0	0	1000
