n	50	Q	15	r_mod	16
0	25.0	25.0	0	0	0	1000
1	34.548	16.947	0	9	527	647
2	28.402	46.895	0	10	143	263
3	16.459	40.222	0	10	144	264
4	2.98	41.789	0	11	154	274
5	27.881	11.25	0	11	203	323
6	12.338	31.567	0	10	22	142
7	24.993	36.846	0	6	137	257
8	34.128	43.463	0	11	411	531
9	37.055	14.494	0	10	510	630
10	42.347	34.9	0	11	193	313
11	21.314	35.006	0	10	325	445
12	4.802	1.609	0	10	80	200
13	3.391	29.245	0	11	149	269
14	32.467	49.455	0	10	272	392
15	40.532	24.883	0	10	115	235
16	43.111	6.773	0	8	374	494
17	7.223	34.563	0	8	89	209
18	16.03	15.249	0	8	535	655
19	8.135	15.82	0	10	151	271
20	30.819	3.48	0	7	560	680
21	15.362	11.994	0	11	347	467
22	5.307	2.384	0	10	182	302
23	47.712	34.265	0	6	545	665
24	9.968	45.713	0	10	458	578
25	39.265	24.082	0	7	381	501
26	39.826	36.958	0	10	203	323
27	31.608	6.402	0	10	39	159
28	0.621	16.762	0	5	280	400
29	33.641	41.836	0	11	184	304
30	18.985	21.045	0	9	365	485
31	27.031	7.841	0	7	70	190
32	32.057	9.578	0	11	33	153
33	42.026	44.074	0	8	541	661
34	34.019	12.171	0	11	23	143
35	41.886	31.076	0	11	33	153
36	44.692	14.562	0	11	319	439
37	8.588	23.12	0	5	26	146
38	21.135	31.892	0	5	531	651
39	13.347	44.698	0	7	254	374
40	27.508	18.838	0	8	97	217
41	11.49	25.126	0	8	69	189
42	4.088	18.481	0	11	227	347
43	29.404	12.838	0	10	172	292
44	7.771	0.816	0	8	143	263
45	24.744	16.408	0	5	375	495
46	2.049	44.44	0	11	96	216
47	32.95	30.817	0	9	244	364
48	21.079	33.248	0	7	118	238
49	48.734	0.58	0	9	178	298
50	12.218	9.802	0	11	131	251
51	13.85	26.773	0	-9	549	669
52	34.924	33.086	0	-10	158	278
53	31.72	11.567	0	-10	176	296
54	28.881	37.179	0	-11	180	300
55	41.328	33.122	0	-11	228	348
56	17.327	29.285	0	-10	27	147
57	22.503	21.888	0	-6	152	272
58	22.048	24.351	0	-11	433	553
59	36.595	28.844	0	-10	524	644
60	1.654	3.597	0	-11	244	364
61	47.114	2.88	0	-10	366	486
62	1.391	41.648	0	-10	120	240
63	7.407	46.855	0	-11	167	287
64	18.813	46.961	0	-10	285	405
65	40.003	25.432	0	-10	115	235
66	14.914	28.117	0	-8	409	529
67	22.596	8.832	0	-8	118	238
68	17.636	45.275	0	-8	565	685
69	46.958	7.59	0	-10	190	310
70	34.451	5.703	0	-7	564	684
71	2.994	22.136	0	-11	362	482
72	38.333	39.87	0	-10	231	351
73	13.195	12.961	0	-6	585	705
74	16.605	25.788	0	-10	479	599
75	5.014	42.745	0	-7	420	540
76	26.079	1.82	0	-10	240	360
77	3.522	33.992	0	-10	78	198
78	41.104	34.886	0	-5	324	444
79	14.032	29.354	0	-11	207	327
80	29.085	43.067	0	-9	389	509
81	11.656	13.989	0	-7	86	206
82	45.083	38.459	0	-11	64	184
83	29.697	8.788	0	-8	578	698
84	48.224	25.855	0	-11	42	162
85	46.562	12.931	0	-11	51	171
86	16.66	2.533	0	-11	349	469
87	12.706	18.166	0	-5	32	152
88	43.191	15.209	0	-5	558	678
89	35.998	25.518	0	-7	283	403
90	3.739	8.584	0	-8	122	242
91	11.362	26.051	0	-8	69	189
92	22.483	27.208	0	-11	247	367
93	11.783	11.296	0	-10	189	309
94	40.339	2.469	0	-8	175	295
95	43.365	43.582	0	-5	407	527
96	13.439	27.175	0	-11	116	236
97	43.579	1.432	0	-9	275	395
98	0.191	33.917	0	-7	138	258
99	19.258	49.55	0	-9	235	355
100	46.471	28.627	0	-11	170	290
101	25.0	25.0	0	0	0	1000
