n	10	Q	20	r_mod	4
0	25.0	25.0	0	0	0	1000
1	45.479	47.35	0	9	200	320
2	14.637	2.649	0	5	40	160
3	31.784	39.682	0	15	448	568
4	22.594	49.458	0	14	13	133
5	1.279	7.844	0	10	559	679
6	49.591	5.129	0	14	207	327
7	14.9	8.658	0	6	114	234
8	21.227	46.868	0	14	364	484
9	0.401	2.882	0	7	29	149
10	0.992	42.377	0	9	112	232
11	5.293	33.895	0	-9	242	362
12	39.612	41.714	0	-5	86	206
13	37.15	7.767	0	-15	480	600
14	20.41	42.96	0	-14	19	139
15	39.731	3.207	0	-10	597	717
16	13.064	46.942	0	-14	262	382
17	11.596	17.549	0	-6	123	243
18	35.094	10.91	0	-14	402	522
19	15.455	49.859	0	-7	78	198
20	9.693	8.836	0	-9	146	266
21	25.0	25.0	0	0	0	1000
